SurveyYear,ADM1_NAME,received_all_8_basics,received_nos,number_of_children_12-23_months,number_of_children_12-23_months_(unweighted),vacc_round,vacc,round,vacc_cov,vacc_age,pmc_3_recommen,southern_nga,geo_zone,mealses_incr,dtp1_to_3_drop,dtp2_to_measles_drop,State,vacc_cov_adj,mean_vacc_cov,mean_vacc_cov_adj
2018,Bayelsa,18,20.1,50,123,dpt_3,dpt,3,0.545,106,yes,Southern States,South-South,yes,0.76,1.12,Bayelsa,0.520833333333333,0.632333333333333,0.517900059091516
2018,Bayelsa,18,20.1,50,123,measles,measles,,0.713,274,yes,Southern States,South-South,yes,0.76,1.12,Bayelsa,0.497187739463602,0.632333333333333,0.517900059091516
2018,Benue,27.4,12.7,194,186,dpt_2,dpt,2,0.714,76,yes,Southern States,North-Central,yes,0.76,0.9,Benue,0.59855223880597,0.647333333333333,0.53550134324336
2018,Benue,27.4,12.7,194,186,dpt_3,dpt,3,0.587,106,yes,Southern States,North-Central,yes,0.76,0.9,Benue,0.560970948012233,0.647333333333333,0.53550134324336
2018,Benue,27.4,12.7,194,186,measles,measles,,0.641,274,yes,Southern States,North-Central,yes,0.76,0.9,Benue,0.446980842911877,0.647333333333333,0.53550134324336
2018,Cross River,46,4.4,53,75,dpt_2,dpt,2,0.818,76,yes,Southern States,South-South,no,0.7,0.78,Cross River,0.68573631840796,0.7,0.581764537973075
2018,Cross River,46,4.4,53,75,dpt_3,dpt,3,0.641,106,yes,Southern States,South-South,no,0.7,0.78,Cross River,0.612576452599388,0.7,0.581764537973075
2018,Cross River,46,4.4,53,75,measles,measles,,0.641,274,yes,Southern States,South-South,no,0.7,0.78,Cross River,0.446980842911877,0.7,0.581764537973075
2018,Delta,44.4,12.5,127,102,dpt_2,dpt,2,0.782,76,yes,Southern States,South-South,yes,0.88,0.94,Delta,0.655557213930348,0.744,0.617299245188518
2018,Delta,44.4,12.5,127,102,dpt_3,dpt,3,0.717,106,yes,Southern States,South-South,yes,0.88,0.94,Delta,0.685206422018349,0.744,0.617299245188518
2018,Delta,44.4,12.5,127,102,measles,measles,,0.733,274,yes,Southern States,South-South,yes,0.88,0.94,Delta,0.511134099616858,0.744,0.617299245188518
2018,Ebonyi,44.8,1.7,148,181,dpt_2,dpt,2,0.921,76,yes,Southern States,South-East,no,0.86,0.7,Ebonyi,0.772082089552239,0.796,0.669306447393249
2018,Ebonyi,44.8,1.7,148,181,dpt_3,dpt,3,0.824,106,yes,Southern States,South-East,no,0.86,0.7,Ebonyi,0.787461773700306,0.796,0.669306447393249
2018,Ebonyi,44.8,1.7,148,181,measles,measles,,0.643,274,yes,Southern States,South-East,no,0.86,0.7,Ebonyi,0.448375478927203,0.796,0.669306447393249
2018,Edo,56.3,5,75,90,dpt_2,dpt,2,0.86,76,yes,Southern States,South-South,no,0.86,0.94,Edo,0.720945273631841,0.824333333333333,0.684733061379454
2018,Edo,56.3,5,75,90,dpt_3,dpt,3,0.807,106,yes,Southern States,South-South,no,0.86,0.94,Edo,0.771215596330275,0.824333333333333,0.684733061379454
2018,Edo,56.3,5,75,90,measles,measles,,0.806,274,yes,Southern States,South-South,no,0.86,0.94,Edo,0.562038314176245,0.824333333333333,0.684733061379454
