State,RDT_2018,microscopy_2018,annual_EIR,cm_coverage,pmc_coverage,pmc_mode,rtss_coverage,CM_filename,RTSS_filename,PMC_filename
Abia,0.207,0.135,6.317733475,0.304475686,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Akwa Ibom,0.332,0.232,12.36324417,0.321845045,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Anambra,0.152,0.088,4.121175816,0.460032886,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Bayelsa,0.301,0.125,10.72834892,0.292820437,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Benue,0.26,0.127,8.718173933,0.222943414,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Cross River,0.264,0.195,8.908238722,0.357510442,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Delta,0.249,0.17,8.201728045,0.292904454,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Ebonyi,0.493,0.305,22.708865,0.388033505,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Edo,0.191,0.147,5.64207378,0.267507911,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Ekiti,0.463,0.323,20.70497817,0.258480173,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Enugu,0.302,0.174,10.77928429,0.407629233,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Imo,0.156,0.078,4.267784085,0.371282842,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Kogi,0.46,0.254,20.51169274,0.240031093,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Lagos,0.034,0.018,1.143788881,0.355593637,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Ogun,0.322,0.216,11.82202566,0.376325226,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Ondo,0.416,0.335,17.667814,0.310259092,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Osun,0.549,0.277,27.43689019,0.314421506,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Oyo,0.339,0.238,12.75149081,0.33035426,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Rivers,0.223,0.112,7.018045869,0.289590082,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
Taraba,0.352,0.208,13.49636957,0.223071596,custom,3tp,custom,CM/NGA_CM.csv,RTSS/NGA_rtss.csv,PMC/NGA_pmc_3tp.csv
