State,vacc_age,vacc_cov,vacc_cov_adj,round,epi_based,round_new,round_fix,mean_vacc_cov,mean_vacc_cov_adj
Edo,274,0.806,0.562038314176245,3,1,4,4,0.6946,0.484357088122606
Ekiti,274,0.864,0.60248275862069,3,1,4,4,0.6946,0.484357088122606
Enugu,274,0.792,0.552275862068966,3,1,4,4,0.6946,0.484357088122606
Imo,274,0.713,0.497187739463602,3,1,4,4,0.6946,0.484357088122606
Kogi,274,0.447,0.311701149425287,3,1,4,4,0.6946,0.484357088122606
Lagos,274,0.895,0.624099616858238,3,1,4,4,0.6946,0.484357088122606
Ogun,274,0.519,0.361908045977011,3,1,4,4,0.6946,0.484357088122606
Ondo,274,0.735,0.512528735632184,3,1,4,4,0.6946,0.484357088122606
Osun,274,0.766,0.534145593869732,3,1,4,4,0.6946,0.484357088122606
Oyo,274,0.616,0.429547892720307,3,1,4,4,0.6946,0.484357088122606
Rivers,274,0.728,0.507647509578544,3,1,4,4,0.6946,0.484357088122606
Taraba,274,0.408,0.284505747126437,3,1,4,4,0.6946,0.484357088122606
Abia,365,0.789,0.550183908045977,5,0,5,,0.6946,0.484357088122606
Akwa Ibom,365,0.635,0.4427969348659,5,0,5,,0.6946,0.484357088122606
Anambra,365,0.808,0.563432950191571,5,0,5,,0.6946,0.484357088122606
Bayelsa,365,0.713,0.497187739463602,5,0,5,,0.6946,0.484357088122606
Benue,365,0.641,0.446980842911877,5,0,5,,0.6946,0.484357088122606
Cross River,365,0.641,0.446980842911877,5,0,5,,0.6946,0.484357088122606
Delta,365,0.733,0.511134099616858,5,0,5,,0.6946,0.484357088122606
Ebonyi,365,0.643,0.448375478927203,5,0,5,,0.6946,0.484357088122606
Edo,365,0.806,0.562038314176245,5,0,5,,0.6946,0.484357088122606
Ekiti,365,0.864,0.60248275862069,5,0,5,,0.6946,0.484357088122606
Enugu,365,0.792,0.552275862068966,5,0,5,,0.6946,0.484357088122606
Imo,365,0.713,0.497187739463602,5,0,5,,0.6946,0.484357088122606
Kogi,365,0.447,0.311701149425287,5,0,5,,0.6946,0.484357088122606
Lagos,365,0.895,0.624099616858238,5,0,5,,0.6946,0.484357088122606
Ogun,365,0.519,0.361908045977011,5,0,5,,0.6946,0.484357088122606
Ondo,365,0.735,0.512528735632184,5,0,5,,0.6946,0.484357088122606
Osun,365,0.766,0.534145593869732,5,0,5,,0.6946,0.484357088122606
Oyo,365,0.616,0.429547892720307,5,0,5,,0.6946,0.484357088122606
Rivers,365,0.728,0.507647509578544,5,0,5,,0.6946,0.484357088122606
Taraba,365,0.408,0.284505747126437,5,0,5,,0.6946,0.484357088122606
Abia,456,0.789,0.550183908045977,6,0,6,,0.6946,0.484357088122606
Akwa Ibom,456,0.635,0.4427969348659,6,0,6,,0.6946,0.484357088122606
Anambra,456,0.808,0.563432950191571,6,0,6,,0.6946,0.484357088122606
Bayelsa,456,0.713,0.497187739463602,6,0,6,,0.6946,0.484357088122606
Benue,456,0.641,0.446980842911877,6,0,6,,0.6946,0.484357088122606
Cross River,456,0.641,0.446980842911877,6,0,6,,0.6946,0.484357088122606
Delta,456,0.733,0.511134099616858,6,0,6,,0.6946,0.484357088122606
Ebonyi,456,0.643,0.448375478927203,6,0,6,,0.6946,0.484357088122606
Edo,456,0.806,0.562038314176245,6,0,6,,0.6946,0.484357088122606
Ekiti,456,0.864,0.60248275862069,6,0,6,,0.6946,0.484357088122606
Enugu,456,0.792,0.552275862068966,6,0,6,,0.6946,0.484357088122606
Imo,456,0.713,0.497187739463602,6,0,6,,0.6946,0.484357088122606
Kogi,456,0.447,0.311701149425287,6,0,6,,0.6946,0.484357088122606
Lagos,456,0.895,0.624099616858238,6,0,6,,0.6946,0.484357088122606
Ogun,456,0.519,0.361908045977011,6,0,6,,0.6946,0.484357088122606
Ondo,456,0.735,0.512528735632184,6,0,6,,0.6946,0.484357088122606
Osun,456,0.766,0.534145593869732,6,0,6,,0.6946,0.484357088122606
Oyo,456,0.616,0.429547892720307,6,0,6,,0.6946,0.484357088122606
Rivers,456,0.728,0.507647509578544,6,0,6,,0.6946,0.484357088122606
Taraba,456,0.408,0.284505747126437,6,0,6,,0.6946,0.484357088122606
Abia,548,0.789,0.550183908045977,7,0,7,,0.6946,0.484357088122606
Akwa Ibom,548,0.635,0.4427969348659,7,0,7,,0.6946,0.484357088122606
Anambra,548,0.808,0.563432950191571,7,0,7,,0.6946,0.484357088122606
Bayelsa,548,0.713,0.497187739463602,7,0,7,,0.6946,0.484357088122606
Benue,548,0.641,0.446980842911877,7,0,7,,0.6946,0.484357088122606
Cross River,548,0.641,0.446980842911877,7,0,7,,0.6946,0.484357088122606
