SurveyYear,ADM1_NAME,received_all_8_basics,received_nos,number_of_children_12-23_months,number_of_children_12-23_months_(unweighted),vacc_round,vacc,round,value,vacc_age,pmc_3_recommen,southern_nga,geo_zone,mealses_incr,dtp1_to_3_drop,dtp2_to_measles_drop,State
2018,Ebonyi,44.8,1.7,148,181,bcg,bcg,,95.9,0,no,Southern States,South-East,no,0.86,0.7,Ebonyi
2018,Ebonyi,44.8,1.7,148,181,dpt_1,dpt,1,95.5,61,no,Southern States,South-East,no,0.86,0.7,Ebonyi
2018,Ebonyi,44.8,1.7,148,181,dpt_2,dpt,2,92.1,76,yes,Southern States,South-East,no,0.86,0.7,Ebonyi
2018,Ebonyi,44.8,1.7,148,181,dpt_3,dpt,3,82.4,106,yes,Southern States,South-East,no,0.86,0.7,Ebonyi
2018,Ebonyi,44.8,1.7,148,181,measles,measles,,64.3,274,yes,Southern States,South-East,no,0.86,0.7,Ebonyi
2018,Edo,56.3,5,75,90,bcg,bcg,,95,0,no,Southern States,South-South,no,0.86,0.94,Edo
2018,Edo,56.3,5,75,90,dpt_1,dpt,1,93.5,61,no,Southern States,South-South,no,0.86,0.94,Edo
2018,Edo,56.3,5,75,90,dpt_2,dpt,2,86,76,yes,Southern States,South-South,no,0.86,0.94,Edo
2018,Edo,56.3,5,75,90,dpt_3,dpt,3,80.7,106,yes,Southern States,South-South,no,0.86,0.94,Edo
2018,Edo,56.3,5,75,90,measles,measles,,80.6,274,yes,Southern States,South-South,no,0.86,0.94,Edo
2018,Ekiti,41.1,3.4,68,100,bcg,bcg,,94.8,0,no,Southern States,South-West,no,0.97,0.91,Ekiti
2018,Ekiti,41.1,3.4,68,100,dpt_1,dpt,1,96.1,61,no,Southern States,South-West,no,0.97,0.91,Ekiti
2018,Ekiti,41.1,3.4,68,100,dpt_2,dpt,2,95,76,yes,Southern States,South-West,no,0.97,0.91,Ekiti
2018,Ekiti,41.1,3.4,68,100,dpt_3,dpt,3,93,106,yes,Southern States,South-West,no,0.97,0.91,Ekiti
2018,Ekiti,41.1,3.4,68,100,measles,measles,,86.4,274,yes,Southern States,South-West,no,0.97,0.91,Ekiti
2018,Enugu,36.4,6.8,87,97,bcg,bcg,,92.5,0,no,Southern States,South-East,no,0.87,0.95,Enugu
2018,Enugu,36.4,6.8,87,97,dpt_1,dpt,1,93.2,61,no,Southern States,South-East,no,0.87,0.95,Enugu
2018,Enugu,36.4,6.8,87,97,dpt_2,dpt,2,83.8,76,yes,Southern States,South-East,no,0.87,0.95,Enugu
2018,Enugu,36.4,6.8,87,97,dpt_3,dpt,3,80.9,106,yes,Southern States,South-East,no,0.87,0.95,Enugu
2018,Enugu,36.4,6.8,87,97,measles,measles,,79.2,274,yes,Southern States,South-East,no,0.87,0.95,Enugu
2018,FCT Abuja,49.6,9.1,41,141,bcg,bcg,,87.7,0,no,Northern States,North-Central,yes,0.86,0.89,FCT Abuja
2018,FCT Abuja,49.6,9.1,41,141,dpt_1,dpt,1,85.5,61,no,Northern States,North-Central,yes,0.86,0.89,FCT Abuja
2018,FCT Abuja,49.6,9.1,41,141,dpt_2,dpt,2,83,76,yes,Northern States,North-Central,yes,0.86,0.89,FCT Abuja
2018,FCT Abuja,49.6,9.1,41,141,dpt_3,dpt,3,73.5,106,yes,Northern States,North-Central,yes,0.86,0.89,FCT Abuja
