age_group,State,statistic,total_pop,pop_U2,Annual_EIR,PfHRP2_Prevalence,clinicalinc_ppa,clinical_cases,clinicalcases_pop
U2,Abia,mean_val,3399511.416297,231167,6.32,0.122173857677642,0.780521666666667,780.521666666667,180430.852118333
U2,Akwa Ibom,mean_val,3296710.49991875,224176,12.36,0.222157030434637,1.42550472222222,1425.50472222222,319563.946608888
U2,Anambra,mean_val,5098431.00245006,346693,4.12,0.0769982321307259,0.53256,532.56,184634.82408
U2,Bayelsa,mean_val,1075781.60546979,73153,10.73,0.198374443652932,1.25530444444444,1255.30444444444,91829.2860244441
U2,Benue,mean_val,9961202.7942744,677362,8.72,0.169554716878541,1.0399725,1039.9725,704437.852545
U2,Cross River,mean_val,2016226.89448512,137103,8.91,0.16440462102115,1.07656833333333,1076.56833333333,147600.748205
U2,Delta,mean_val,3980159.13129126,270651,8.2,0.157218815841148,0.998439166666667,998.439166666667,270228.5588975
U2,Ebonyi,mean_val,3170746.9700617,215611,22.71,0.350385266357161,2.30496694444444,2304.96694444444,496976.22785861
U2,Edo,mean_val,3889207.70466486,264466,5.64,0.112653942931352,0.708193055555556,708.193055555556,187292.984630556
U2,Ekiti,mean_val,1662045.54988429,113019,20.7,0.337958478656683,2.07979083333333,2079.79083333333,235055.8801925
U2,Enugu,mean_val,4408363.6995842,299769,10.78,0.190779193323987,1.28034333333333,1280.34333333333,383807.240689999
U2,Imo,mean_val,5749606.6045009,390973,4.27,0.0826537557100173,0.546530277777778,546.530277777778,213678.582293611
U2,Kogi,mean_val,3773143.48526124,256574,20.51,0.34031390644103,2.07586861111111,2075.86861111111,532613.913027222
U2,Lagos,mean_val,9689081.86118731,658858,1.14,0.0232552321291586,0.152655555555556,152.655555555556,100578.334022223
U2,Ogun,mean_val,8001223.04886736,544083,11.82,0.208693997714899,1.376945,1376.945,749172.366435
U2,Ondo,mean_val,3360724.60522142,228529,17.67,0.295802751128079,1.87556472222222,1875.56472222222,428620.930404722
U2,Osun,mean_val,4620347.90734842,314184,27.44,0.399715659135459,2.51077722222222,2510.77722222222,788846.030786666
U2,Oyo,mean_val,6977518.11374715,474471,12.75,0.225098977141045,1.44849972222222,1448.49972222222,687271.111702499
U2,Rivers,mean_val,5115068.37844803,347825,7.02,0.136687936093633,0.867773333333333,867.773333333333,301833.259666667
U2,Taraba,mean_val,6038663.565472,410629,13.5,0.247694041045392,1.511845,1511.845,620807.400505
